"artist_name","artist_popularity","artist_followers","primary_genre","genre_clean"
"Taylor Swift","100","142307793",,"Unknown"
"Drake","99","101276617","rap","rap"
"The Weeknd","97","110222914",,"Unknown"
"Billie Eilish","94","116440992",,"Unknown"
"Travis Scott","94","40341657","rap","rap"
"Kendrick Lamar","93","43547006","hip hop","hip hop"
"Ariana Grande","93","106554861","pop","pop"
"Sabrina Carpenter","93","25118013",,"Unknown"
"Tyler, The Creator","92","23650344",,"Unknown"
"Coldplay","92","59919753",,"Unknown"
"SZA","91","32070849","r&b","r&b"
"Pritam","91","56561385","bollywood","bollywood"
"Tate McRae","91","8690264",,"Unknown"
"Gunna","90","10016997","melodic rap","melodic rap"
"sombr","89","2152577",,"Unknown"
"Don Toliver","88","7194548",,"Unknown"
"Olivia Rodrigo","88","47927020",,"Unknown"
"Chappell Roan","87","6950817",,"Unknown"
"Metro Boomin","87","11420833",,"Unknown"
"Katy Perry","87","37931480","pop","pop"
"Frank Ocean","87","19802770",,"Unknown"
"Gracie Abrams","86","6847784",,"Unknown"
"The Marías","86","3357949","bedroom pop","bedroom pop"
"Daniel Caesar","86","10432393",,"Unknown"
"One Direction","86","40116799",,"Unknown"
"The Neighbourhood","85","21145040",,"Unknown"
"Lorde","84","10464381",,"Unknown"
"Conan Gray","84","12176287",,"Unknown"
"Harry Styles","84","33917145",,"Unknown"
"Mac Miller","84","12044544",,"Unknown"
"Tame Impala","83","9158133","neo-psychedelic","neo-psychedelic"
"Clairo","82","6428606","bedroom pop","bedroom pop"
"Vishal-Shekhar","82","14895305","bollywood","bollywood"
"beabadoobee","82","6256231","bedroom pop","bedroom pop"
"Steve Lacy","81","6250398",,"Unknown"
"NIKI","81","7966852",,"Unknown"
"Dominic Fike","80","2183296",,"Unknown"
"keshi","79","4161284",,"Unknown"
"Phoebe Bridgers","79","2941159",,"Unknown"
"Lizzy McAlpine","76","1466435",,"Unknown"
"ROLE MODEL","75","729045","bedroom pop","bedroom pop"
"¥$","73","1031541",,"Unknown"
"Wallows","72","2989911","indie","indie"
"Matt Maltese","69","742905",,"Unknown"
"Meryl Streep","68","152037","musicals","musicals"
"Declan McKenna","67","1081138",,"Unknown"
"grentperez","65","787238",,"Unknown"
"boygenius","65","1063256",,"Unknown"
"Ray Bull","47","87822",,"Unknown"
"Coastal Club","41","15867",,"Unknown"
